hot,lat,lng
106,30.925925473,121.560720735
106,30.925925473,121.560720735
106,30.925925473,121.560720735
94,30.926448427,121.593910616
105,30.926479267,121.536462076
105,30.926479267,121.536462076
105,30.926479267,121.536462076
105,30.926479267,121.536462076
90,30.926908726,121.527150424
103,30.926993451,121.487385564
106,30.927163321,121.491587266
106,30.927163321,121.491587266
106,30.927163321,121.491587266
92,30.92757139,121.529320546
91,30.928341394,121.525626218
68,30.928449636,121.643260455
94,30.928519796,121.47604196
94,30.928519796,121.47604196
95,30.928759559,121.594419053
66,30.928852289,121.644561308
101,30.929271741,121.591078062
44,30.929273456,121.687801419
100,30.929301715,121.620343562
100,30.929301715,121.620343562
98,30.929413507,121.592122894
96,30.929438437,121.580490152
96,30.929438437,121.580490152
96,30.929438437,121.580490152
96,30.929438437,121.580490152
96,30.929438437,121.580490152
97,30.931242668,121.579983969
100,30.931326864,121.585242955
31,30.931375464,121.860929858
100,30.931397963,121.583745066
40,30.931777237,121.689228417
40,30.931777237,121.689228417
40,30.933549652,121.285010398
102,30.933708312,121.583847006
102,30.933708312,121.583847006
102,30.933708312,121.583847006
76,30.933735189,121.4493091
47,30.933744702,121.777240046
47,30.933744702,121.777240046
48,30.933973734,121.677677484
96,30.934027862,121.476492779
96,30.934027862,121.476492779
104,30.934371724,121.581947951
104,30.934371724,121.581947951
104,30.934371724,121.581947951
45,30.935311208,121.888109177
108,30.935456155,121.590209844
108,30.935486919,121.590222903
15,30.935871897,121.264773
77,30.936871188,121.460462836
32,30.937366249,121.739850808
107,30.937460583,121.576224869
45,30.937465123,121.321293146
31,30.938669301,121.805741013
113,30.938726396,121.610800869
113,30.938726396,121.610800869
113,30.938726396,121.610800869
113,30.938726396,121.610800869
38,30.938797663,121.741717699
84,30.939331555,121.467498011
84,30.939331555,121.467498011
119,30.939665947,121.600144597
44,30.9399322,121.892661564
105,30.940164151,121.623164489
105,30.940164151,121.623164489
108,30.940167869,121.527121984
108,30.940167869,121.527121984
126,30.94086465,121.558833537
126,30.94086465,121.558833537
112,30.940961309,121.499970685
40,30.941051559,121.409561375
40,30.941051559,121.409561375
40,30.941051559,121.409561375
116,30.941086803,121.589399792
48,30.941366182,121.300690972
22,30.941809127,121.222022925
82,30.942226641,121.647871308
82,30.942226641,121.647871308
5,30.942573664,121.101079906
44,30.942770069,121.319537818
95,30.943338829,121.468776705
95,30.943338829,121.468776705
48,30.943663321,121.298358997
41,30.943720241,121.354486535
13,30.944783841,121.148400197
42,30.944857572,121.881287311
97,30.946464042,121.47036229
97,30.946468988,121.468903668
97,30.946468988,121.468903668
117,30.946512972,121.623113978
97,30.94687937,121.470347441
44,30.947121325,121.725455743
44,30.947726626,121.319999298
100,30.948095382,121.471019239
100,30.948095382,121.471019239
48,30.948426937,121.318588209
48,30.948426937,121.318588209
50,30.948799455,121.405946798
42,30.949327527,121.83857426
7,30.949606736,121.072781991
46,30.949990972,121.324811837
46,30.949990972,121.324811837
112,30.951572859,121.587285761
112,30.951572859,121.587285761
112,30.951572859,121.587285761
112,30.951572859,121.587285761
112,30.951572859,121.587285761
81,30.952122123,121.653737549
48,30.952367468,121.327006247
48,30.952367468,121.327006247
90,30.953166203,121.639292133
111,30.953514281,121.468155029
128,30.954550632,121.558712369
128,30.954550632,121.558712369
53,30.956000469,121.340925741
47,30.956001239,121.3243147
45,30.956059458,121.87608721
52,30.956088313,121.32990779
53,30.956320745,121.338439287
38,30.957620535,121.906434219
45,30.957968543,121.875715812
50,30.958053562,121.324247568
108,30.958733013,121.523295428
108,30.958733013,121.523295428
108,30.958733013,121.523295428
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
34,30.959292361,121.914003138
103,30.959426653,121.501727675
114,30.959666015,121.517597796
112,30.959874538,121.499115075
112,30.959874538,121.499115075
32,30.960313097,121.909667772
32,30.960313097,121.909667772
32,30.960313097,121.909667772
74,30.960385377,121.654762866
51,30.960553528,121.320732415
51,30.960553528,121.320732415
51,30.960553528,121.320732415
51,30.960553528,121.320732415
115,30.96055657,121.494503779
115,30.96055657,121.494503779
31,30.960796013,121.91294882
115,30.960834024,121.517572008
119,30.960984343,121.467379331
36,30.961381628,121.814006413
108,30.961588885,121.523104929
40,30.961869048,121.718386008
109,30.962186574,121.631765981
109,30.962186574,121.631765981
109,30.962186574,121.631765981
109,30.962186574,121.631765981
55,30.962287504,121.320831972
55,30.962287504,121.320831972
55,30.962287504,121.320831972
55,30.962287504,121.320831972
28,30.962533696,121.219994829
117,30.963141641,121.575698675
137,30.963443007,121.324306739
107,30.963846082,121.52421894
136,30.96393654,121.324511129
136,30.96393654,121.324511129
136,30.96393654,121.324511129
136,30.96393654,121.324511129
150,30.964071737,121.383039684
150,30.964071737,121.383039684
96,30.964722485,121.503356617
96,30.964722485,121.503356617
64,30.964764998,121.660344011
64,30.964764998,121.660344011
64,30.964764998,121.660344011
64,30.964764998,121.660344011
180,30.965014489,121.406713907
180,30.965014489,121.406713907
43,30.965355447,121.84551155
165,30.965655795,121.383785895
33,30.965664475,121.208385913
49,30.965782745,121.792072667
35,30.966139339,121.818625278
48,30.966272162,121.758797076
153,30.967881508,121.449943243
98,30.968016024,121.522236625
108,30.968449289,121.532598499
160,30.968461842,121.449253268
160,30.968461842,121.449253268
160,30.968461842,121.449253268
155,30.968950536,121.444196353
155,30.9689746,121.443804618
216,30.969000583,121.405685279
94,30.969278237,121.50263857
101,30.969448104,121.522989321
130,30.969563027,121.604746432
130,30.969563027,121.604746432
130,30.969563027,121.604746432
130,30.969563027,121.604746432
130,30.969563027,121.604746432
