R,G,B,Transparency,Distance
158,53,58,255,24.341033163809563
127,33,34,255,61.73185043995087
166,54,52,255,31.388734741059828
205,87,83,255,55.512869262317345
202,84,80,255,51.44529085212503
195,56,63,255,43.6931923091129
185,34,41,255,56.77272155288207
169,23,26,255,68.40983475199921
183,95,85,255,43.106232001123836
181,60,65,255,29.949127186453126
150,14,28,255,71.39558351859665
208,65,85,255,52.87984708516135
96,86,95,255,65.63079078042237
108,98,107,255,65.08182165524542
126,116,127,255,77.0097102977684
86,74,88,255,70.80107770893642
131,117,130,255,77.83851320710833
128,114,127,255,74.87171318607436
131,118,128,255,77.29757483556892
100,88,98,255,63.59324161398565
109,40,61,255,54.96952641945173
136,36,88,255,33.48978602030999
164,53,122,255,43.48953892131042
173,56,137,255,59.62024171726608
177,62,147,255,70.0375242178796
143,63,124,255,45.355855488691546
148,68,129,255,49.520246350054336
134,41,96,255,33.94031370533742
138,30,46,255,50.22276526708512
141,29,41,255,53.48982222675781
155,46,52,255,32.686676227936054
142,43,46,255,41.59987732247843
136,28,26,255,67.11107141248233
186,71,68,255,34.16102718502149
203,85,81,255,52.779145362079696
216,83,88,255,64.52059842190937
186,39,47,255,50.88866562917409
177,28,32,255,63.07038561729309
191,59,55,255,43.84084216581104
178,89,75,255,35.45783402096422
160,30,40,255,51.859729871863344
188,51,67,255,36.98342108861455
213,76,96,255,61.255651156200024
94,84,92,255,66.17489216776745
97,87,95,255,65.10128306178804
115,105,114,255,67.7700903792209
112,100,110,255,64.71741025779966
126,112,125,255,73.0324103863085
122,110,122,255,71.63123122160472
113,28,67,255,56.099184337573945
150,49,107,255,30.207610630387826
163,51,123,255,44.724029605226484
171,58,136,255,57.92280544560446
149,60,126,255,46.12137591336532
146,61,126,255,46.595353878288265
140,54,119,255,42.38151756051149
112,22,76,255,59.32700534506446
131,30,46,255,53.055371801084625
134,27,37,255,59.82971269929148
146,37,43,255,46.056885415795556
147,45,49,255,36.762169977955146
133,37,41,255,51.84640065389199
154,44,43,255,41.603832356258756
203,87,87,255,54.076231600668834
208,90,86,255,59.75566380361394
208,93,86,255,61.208213720856754
194,55,60,255,44.24462754889768
181,36,41,255,53.79078565875624
172,30,29,255,62.874803809273445
209,80,75,255,56.73250816133673
182,63,65,255,30.73863948273435
165,40,48,255,40.4240996648514
206,75,91,255,53.263618465432835
210,77,98,255,59.251061074040486
94,85,90,255,66.1906133117291
93,83,91,255,66.61903721252546
96,86,94,255,65.41526444186593
122,112,121,255,72.41496247358255
95,83,95,255,65.52470496266584
128,114,131,255,77.42576406645966
121,108,125,255,72.59765745389204
110,104,114,255,70.26505618907436
133,41,88,255,31.777133523502325
153,47,111,255,34.27770221087769
165,55,126,255,47.176906949998234
174,61,141,255,63.42396902191941
166,70,141,255,62.03270682070046
145,54,123,255,44.63414472404939
140,51,119,255,43.06375460226853
161,71,141,255,61.51086950239508
163,67,131,255,51.41292519763208
131,28,37,255,60.39486905839534
135,30,34,255,60.03979205748433
145,40,44,255,43.87458231395435
155,54,60,255,21.975425713994326
186,74,73,255,33.61400349474807
202,84,82,255,51.46946379930906
206,87,81,255,56.35067496080344
214,84,86,255,62.77398523612496
183,43,46,255,48.09432575930408
180,31,35,255,60.32357950908957
186,44,43,255,51.628715209075494
192,83,80,255,42.09480470851003
178,63,68,255,25.78303542478986
188,64,75,255,33.09255835347844
210,77,96,255,58.687311111270276
88,79,84,255,69.54908974840757
92,83,88,255,67.15025556168234
90,80,88,255,68.19850010263019
110,100,108,255,65.20306819532688
107,97,106,255,64.87390288608641
122,111,128,255,75.91485516817369
123,115,128,255,78.12520504497766
85,80,87,255,72.90921204570778
139,39,93,255,31.098460146608502
159,53,119,255,39.86941217947734
